"Campaign name","Ad set name","Ad name","Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (JPY)","Cost per result",Starts,Ends,"Purchases rate per link clicks","Purchases rate per landing page views","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Cost per purchase",Purchases,"Link clicks","Cost per unique link click","Cost per add to cart","Cost per checkout initiated","Reporting starts","Reporting ends"
"ABOS Traffic 2.0","Broad JP Cities","JD Photograph with graphics - Copy",active,ad,20,20,1,"7-day click or 1-day view",,,0,,2026-01-09,Ongoing,0,0,,0,,,,,,,2026-01-01,2026-01-15
"ABOS Traffic 2.0","Broad JP Cities","JD Painting with Graphic - Copy",active,ad,3,3,1,"7-day click or 1-day view",,,0,,2026-01-09,Ongoing,0,0,,0,,,,,,,2026-01-01,2026-01-15
"ABOS Traffic 2.0","Broad JP Cities + JD Interest","JD Painting with Graphic - Copy",active,ad,1,1,1,"7-day click or 1-day view",,,0,,2026-01-09,Ongoing,0,0,,0,,,,,,,2026-01-01,2026-01-15
"ABOS Traffic 2.0","Broad JP Cities","Hanging sketches - Copy",active,ad,3,3,1,"7-day click or 1-day view",,,0,,2026-01-09,Ongoing,0,0,,0,,,,,,,2026-01-01,2026-01-15
"ABOS Traffic 2.0","JD Deep Interest","Hello Tokyo - Copy",active,ad,4,4,1,"7-day click or 1-day view",,,0,,2026-01-09,Ongoing,0,0,,0,,,,,,,2026-01-01,2026-01-15
"ABOS Traffic - #2","Broad JP Cities + JD Interest","Black and white photo",not_delivering,ad,2,2,1,"7-day click or 1-day view",,,0,,2026-01-09,2026-01-13,0,0,,0,,,,,,,2026-01-01,2026-01-15
"ABOS Traffic 2.0","JD Deep Interest","JD Photograph with graphics - Copy",active,ad,8,8,1,"7-day click or 1-day view",,,0,,2026-01-09,Ongoing,0,0,,0,,,,,,,2026-01-01,2026-01-15
"ABOS Traffic 2.0","Broad JP Cities","JD Desk - Red Curtain - Copy",active,ad,2,2,1,"7-day click or 1-day view",,,0,,2026-01-09,Ongoing,0,0,,0,,,,,,,2026-01-01,2026-01-15
"ABOS Traffic 2.0","JD Deep Interest","JD Photography - Copy",active,ad,3,3,1,"7-day click or 1-day view",,,0,,2026-01-09,Ongoing,0,0,,0,,,,,,,2026-01-01,2026-01-15
"ABOS Traffic 2.0","JD Deep Interest","JD Photography - Copy 2",active,ad,66,66,1,"7-day click or 1-day view","Landing page views",1,2,2,2026-01-09,Ongoing,0,0,1,30.3030303,,,2,1,,,2026-01-01,2026-01-15
"ABOS Traffic 2.0","Broad JP Cities","JD Photography - Copy 2",active,ad,41,41,1,"7-day click or 1-day view","Landing page views",1,4,4,2026-01-09,Ongoing,0,0,1.33333333,97.56097561,,,3,1.33333333,,,2026-01-01,2026-01-15
"ABOS Traffic 2.0","JD Deep Interest","JD with Skeleton Confetti",active,ad,77,77,1,"7-day click or 1-day view",,,9,,2026-01-09,Ongoing,0,0,9,116.88311688,,,1,9,,,2026-01-01,2026-01-15
"ABOS Traffic 2.0","JD Deep Interest","JD Konnichiwa Video - Copy",active,ad,24,24,1,"7-day click or 1-day view",,,3,,2026-01-09,Ongoing,0,0,1.5,125,,,2,1.5,,,2026-01-01,2026-01-15
"ABOS Traffic 2.0","Broad JP Cities + JD Interest","JD with Skeleton Confetti",active,ad,177,178,1.00564972,"7-day click or 1-day view","Landing page views",3,25,8.33333333,2026-01-09,Ongoing,0,0,3.125,140.4494382,,,8,3.125,,,2026-01-01,2026-01-15
