"Campaign name","Ad set name","Ad name",Day,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (JPY)","Cost per result",Starts,Ends,"Purchases rate per link clicks","Purchases rate per landing page views","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Cost per purchase",Purchases,"Link clicks","Cost per unique link click","Cost per add to cart","Cost per checkout initiated","Landing page views","Cost per landing page view","Landing page views rate per link clicks","Unique link clicks","Unique CTR (link click-through rate)","Adds to cart","Checkouts initiated",Leads,"Cost per lead","Result rate",Views,Viewers,"Results rate per link clicks","Ad Delivery","Campaign Delivery","Ad set delivery","Quality ranking","Engagement rate ranking","Video average play time","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Cost per 3-second video play","Cost per ThruPlay","Outbound clicks","Unique outbound clicks","CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Unique CTR (all)","Unique clicks (all)","Instagram profile visits","Ad recall lift","Ad recall lift rate",Bid,"Bid type","Buying type","Performance goal",Objective,"Reporting starts","Reporting ends","Campaign Budget","Campaign Budget Type"
"Sales - Copy","Web Audience Retarg","Black and white photo - Copy",2026-01-30,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,0,0,2026-01-21,Ongoing,0,0,,,0,1,,,0,0,,,0,,,1,1,2,0,,0,0,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,,,,,,,0,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-30,2026-01-30,100000,Daily
"Sales - Copy","Zaiko + InBound (English) - Copy","JD sitting desk",2026-01-30,not_delivering,ad,131,141,1.07633588,"7-day click or 1-day view",,,140,,2026-01-28,Ongoing,0,0,23.33333333,992.90780142,,,6,35,,,2,70,33.33333333,4,3.05343511,,,2,70,,142,131,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,6,4,4.25531915,4.25531915,3.05343511,3.81679389,5,8,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-30,2026-01-30,100000,Daily
"Sales - Copy","Web Audience Retarg","JD w/ Confetti - Copy",2026-01-30,not_delivering,ad,1,1,1,"7-day click, 1-day view, or 1-day engaged-view",,,0,,2026-01-21,Ongoing,0,0,,0,,,,,,,,,0,,,,,,,,1,1,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,,,,,,0,0,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-30,2026-01-30,100000,Daily
"Awareness 2.0","Tokyo & Kanagawa Broad","JD - Something Inspires Vid",2026-01-30,active,ad,18,19,1.05555556,"7-day click or 1-day view",Reach,18,1,55.55555556,2026-01-19,Ongoing,0,0,,52.63157895,,,,,,,,,0,,,,,,,94.73684211,23,17,,active,active,active,-,-,1,,,,,,1,,,,,,,0,0,0,,,,ABSOLUTE_OCPM,AUCTION,Reach,Awareness,2026-01-30,2026-01-30,20000,Daily
"Sales - Copy","Custom Audience (Video + Interaction + LP)","JD Pose with Graphic - Copy",2026-01-30,not_delivering,ad,10,10,1,"7-day click or 1-day view",,,5,,2026-01-26,Ongoing,0,0,,500,,,,,,,,,0,,,,,,,,10,10,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,,,,,,0,0,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-30,2026-01-30,100000,Daily
"Awareness 2.0","Tokyo & Kanagawa Broad","JD Konnichiwa Vid",2026-01-30,active,ad,7651,7859,1.02718599,"7-day click or 1-day view",Reach,7651,618,80.77375506,2026-01-19,Ongoing,0,0,206,78.63595877,,,3,206,,,3,206,100,3,0.03921056,,,,,97.35335284,7338,6547,255033.33333333,active,active,active,Average,-,2,69,30,19,7,6,0.56541629,6.18,3,3,0.0381728,0.0381728,0.03921056,0.53587766,41,1,,,,ABSOLUTE_OCPM,AUCTION,Reach,Awareness,2026-01-30,2026-01-30,20000,Daily
"Sales - Copy","Zaiko + InBound (English) - Copy","Poster [Redirect link]",2026-01-30,not_delivering,ad,542,629,1.16051661,"7-day click or 1-day view",,,527,,2026-01-28,Ongoing,0,0,37.64285714,837.83783784,,,14,40.53846154,527,,15,35.13333333,107.14285714,13,2.39852399,1,,6,87.83333333,,633,542,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,14,13,2.22575517,2.22575517,2.39852399,4.24354244,23,12,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-30,2026-01-30,100000,Daily
"Sales - Copy","Web Audience Retarg",Poster,2026-01-30,not_delivering,ad,0,0,0,"7-day click, 1-day view, or 1-day engaged-view","Website purchases",1,0,0,2026-01-21,Ongoing,0,0,,,0,1,,,0,0,,,0,,,1,1,,,,0,0,,not_delivering,inactive,not_delivering,-,-,,,,,,,,,,,,,,,0,0,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-30,2026-01-30,100000,Daily
"Sales - Copy","Custom Audience (Video + Interaction + LP)","Flexible 3 Groups",2026-01-30,not_delivering,ad,2170,2655,1.2235023,"7-day click or 1-day view","Website purchases",4,2726,681.5,2026-01-26,Ongoing,6.34920635,7.27272727,43.26984127,1026.74199623,681.5,4,63,49.56363636,389.42857143,681.5,55,49.56363636,87.3015873,55,2.53456221,7,4,31,87.93548387,0.15065913,2663,2135,6.34920635,not_delivering,inactive,not_delivering,-,-,7,114,58,37,11,6,6.91878173,18.67123288,63,55,2.37288136,2.37288136,2.53456221,5.76036866,125,34,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-30,2026-01-30,100000,Daily
"Sales - Copy","Zaiko + InBound (English) - Copy","JD Painting Video - Copy",2026-01-30,not_delivering,ad,68,75,1.10294118,"7-day click or 1-day view",,,88,,2026-01-28,Ongoing,0,0,17.6,1173.33333333,,,5,29.33333333,,,4,22,80,3,4.41176471,,,,,,79,66,,not_delivering,inactive,not_delivering,-,-,12,14,10,8,6,6,3.14285714,6.28571429,4,3,6.66666667,5.33333333,4.41176471,5.88235294,4,4,,,1500,ABSOLUTE_OCPM,AUCTION,Conversions,Sales,2026-01-30,2026-01-30,100000,Daily
