"Campaign name","Ad set name","Ad name",Day,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (JPY)","Cost per result",Starts,Ends,"Purchases rate per link clicks","Purchases rate per landing page views","CPC (cost per link click)","CPM (cost per 1,000 impressions)","Cost per purchase",Purchases,"Link clicks","Cost per unique link click","Cost per add to cart","Cost per checkout initiated","Landing page views","Cost per landing page view","Landing page views rate per link clicks","Unique link clicks","Unique CTR (link click-through rate)","Reporting starts","Reporting ends"
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","Date announcement Post",2025-11-25,not_delivering,ad,1050,1050,1,"7-day click or 1-day view",Reach,1050,178,169.52380952,2025-11-22,2025-11-27,0,0,,169.52380952,,,,,,,,,0,,,2025-11-25,2025-11-25
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","Hanging sketches",2025-11-25,not_delivering,ad,3190,3267,1.02413793,"7-day click or 1-day view",Reach,3190,604,189.34169279,2025-11-22,2025-11-27,0,0,67.11111111,184.87909397,,,9,67.11111111,,86.28571429,9,67.11111111,100,9,0.28213166,2025-11-25,2025-11-25
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD Painting with Graphic",2025-11-24,not_delivering,ad,2696,2752,1.02077151,"7-day click or 1-day view",Reach,2696,356,132.04747774,2025-11-22,2025-11-27,0,0,118.66666667,129.36046512,,,3,118.66666667,,,3,118.66666667,100,3,0.11127596,2025-11-24,2025-11-24
"ABOS Traffic","Johnny Depp Interest Group","JD announcement date post",2025-11-24,not_delivering,ad,4156,4201,1.01082772,"7-day click or 1-day view","Landing page views",341,1349,3.95601173,2025-11-22,2025-11-28,0,0,3.75766017,321.11402047,,,359,4.00296736,,20.43939394,341,3.95601173,94.98607242,337,8.10875842,2025-11-24,2025-11-24
"ABOS Traffic","Johnny Depp Interest Group","Black and white photo",2025-11-24,not_delivering,ad,9501,9668,1.0175771,"7-day click or 1-day view","Landing page views",757,3509,4.63540291,2025-11-22,2025-11-28,0.124533,0.1321004,4.36986301,362.94993794,3509,1,803,4.8002736,501.28571429,23.70945946,757,4.63540291,94.27148194,731,7.69392696,2025-11-24,2025-11-24
"ABOS Traffic","Johnny Depp Interest Group","JD Photography - Copy 2",2025-11-24,not_delivering,ad,90,92,1.02222222,"7-day click or 1-day view","Landing page views",2,15,7.5,2025-11-22,2025-11-28,0,0,5,163.04347826,,,3,5,,,2,7.5,66.66666667,3,3.33333333,2025-11-24,2025-11-24
"Test - NSN - ABOS - Awareness Kanto","Interest Based in Tokyo + Kanagawa + Saitama","JD Photography - Copy",2025-11-24,not_delivering,ad,1730,1789,1.03410405,"7-day click or 1-day view",Reach,1730,211,121.96531792,2025-11-22,2025-11-27,0,0,52.75,117.94298491,,,4,52.75,,,1,211,25,4,0.23121387,2025-11-24,2025-11-24
"ABOS Traffic","Johnny Depp Interest Group","JD Desk - Red Curtain - Copy",2025-11-24,not_delivering,ad,3,3,1,"7-day click or 1-day view",,,0,,2025-11-22,2025-11-28,0,0,,0,,,,,,,,,0,,,2025-11-24,2025-11-24
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","Hanging sketches",2025-11-24,not_delivering,ad,3342,3475,1.03979653,"7-day click or 1-day view",Reach,3342,675,201.97486535,2025-11-22,2025-11-27,0,0,168.75,194.24460432,,,4,168.75,,,3,225,75,4,0.11968881,2025-11-24,2025-11-24
"NSN - ABOS - Awareness Kanto","Broad Tokyo + Kanagawa + Saitama","Date announcement Post",2025-11-24,not_delivering,ad,1634,1640,1.00367197,"7-day click or 1-day view",Reach,1634,331,202.57037944,2025-11-22,2025-11-27,0,0,27.58333333,201.82926829,,,12,27.58333333,,82.75,10,33.1,83.33333333,12,0.73439412,2025-11-24,2025-11-24
