クライアントID,興行ID,公演日,開演時間,席種NO,席種名,券種NO,券種名,販売枚数
jd,JD25111430,20251124,1050,4,入場券,6,大人,0
jd,JD25111430,20251124,1050,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251124,1140,4,入場券,6,大人,0
jd,JD25111430,20251124,1140,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251124,1230,4,入場券,6,大人,3
jd,JD25111430,20251124,1230,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251124,1320,4,入場券,6,大人,1
jd,JD25111430,20251124,1320,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251124,1410,4,入場券,6,大人,1
jd,JD25111430,20251124,1410,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251124,1500,4,入場券,6,大人,0
jd,JD25111430,20251124,1500,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251124,1550,4,入場券,6,大人,0
jd,JD25111430,20251124,1550,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251124,1640,4,入場券,6,大人,0
jd,JD25111430,20251124,1640,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251124,1730,4,入場券,6,大人,0
jd,JD25111430,20251124,1730,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251124,1820,4,入場券,6,大人,0
jd,JD25111430,20251124,1820,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251124,1910,4,入場券,6,大人,1
jd,JD25111430,20251124,1910,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251124,2000,4,入場券,6,大人,0
jd,JD25111430,20251124,2000,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251126,1000,4,入場券,6,大人,2
jd,JD25111430,20251126,1000,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251126,1050,4,入場券,6,大人,0
jd,JD25111430,20251126,1050,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251126,1140,4,入場券,6,大人,5
jd,JD25111430,20251126,1140,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251126,1230,4,入場券,6,大人,0
jd,JD25111430,20251126,1230,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251126,1320,4,入場券,6,大人,1
jd,JD25111430,20251126,1320,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251126,1410,4,入場券,6,大人,1
jd,JD25111430,20251126,1410,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251126,1500,4,入場券,6,大人,0
jd,JD25111430,20251126,1500,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251126,1550,4,入場券,6,大人,0
